"Referência","Quantidade de pessoas do sexo masculino com idade entre 0 e 3 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único","Quantidade de pessoas do sexo masculino com idade entre 4 e 6 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único","Quantidade de pessoas do sexo masculino com idade entre 7 e 15 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único","Quantidade de pessoas do sexo masculino com idade entre 16 e 17 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único","Quantidade de pessoas do sexo masculino com idade entre 18 e 24 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único","Quantidade de pessoas do sexo masculino com idade entre 25 e 34 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único","Quantidade de pessoas do sexo masculino com idade entre 35 e 39 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único","Quantidade de pessoas do sexo masculino com idade entre 40 e 44 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único","Quantidade de pessoas do sexo masculino com idade entre 45 e 49 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único","Quantidade de pessoas do sexo masculino com idade entre 50 e 54 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único","Quantidade de pessoas do sexo masculino com idade entre 55 e 59 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único","Quantidade de pessoas do sexo masculino com idade entre 60 e 64 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único","Quantidade de pessoas do sexo masculino com idade acima de 64 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único"
"09/2022","86788","75998","193744","35056","59590","62601","31984","32184","28661","26444","24600","19210","7885"
"10/2022","89167","77722","197846","35798","61076","64221","32614","32977","29307","27117","25347","19812","8150"
"11/2022","90029","78382","199643","36081","61675","64858","32835","33451","29828","27718","26026","20450","8357"
"12/2022","90557","78319","199391","35840","59615","63762","32465","33182","29627","27714","25997","20468","7223"
"01/2023","90542","79238","202136","36316","60844","65100","32968","33684","30026","27871","26123","20740","8224"
"02/2023","89643","79160","202032","36307","60836","64761","32803","33533","29921","27728","26024","20621","8251"
"03/2023","89728","76549","195830","34696","55083","60586","31121","31772","28359","26542","25170","19961","5946"
"04/2023","90124","76930","196624","34930","55236","60509","31037","31742","28318","26463","25146","19980","6056"
"05/2023","91856","77817","198721","35143","55785","60907","31156","31843","28334","26415","25119","19838","6202"
"06/2023","90725","77806","199080","35065","56089","60672","31075","31814","28352","26388","25126","19904","6440"
"07/2023","91181","77946","199478","34897","56739","60984","30979","31805","28611","26879","25744","20073","5524"
"08/2023","93186","78634","200996","34974","58027","61800","31235","32107","28871","27266","26289","20644","5933"
"09/2023","96017","80495","205158","35531","59278","62956","31725","32521","29311","27541","26586","20878","6169"
"10/2023","96793","81450","207799","35791","60504","63668","32037","32880","29558","27751","26888","21119","6464"
"11/2023","97325","81585","207745","35503","60265","63278","31798","32494","29214","27520","26623","20848","5735"
"12/2023","98335","82176","208775","35471","60487","63383","31840","32532","29319","27654","26719","21088","6013"
"01/2024","97136","82119","208755","35269","60385","63061","31713","32457","29360","27634","26799","21275","6263"
