"Referência","Quantidade de pessoas do sexo feminino com idade entre 0 e 3 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único","Quantidade de pessoas do sexo feminino com idade entre 4 e 6 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único","Quantidade de pessoas do sexo feminino com idade entre 7 e 15 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único","Quantidade de pessoas do sexo feminino com idade entre 16 e 17 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único","Quantidade de pessoas do sexo feminino com idade entre 18 e 24 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único","Quantidade de pessoas do sexo feminino com idade entre 25 e 34 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único","Quantidade de pessoas do sexo feminino com idade entre 35 e 39 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único","Quantidade de pessoas do sexo feminino com idade entre 40 e 44 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único","Quantidade de pessoas do sexo feminino com idade entre 45 e 49 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único","Quantidade de pessoas do sexo feminino com idade entre 50 e 54 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único","Quantidade de pessoas do sexo feminino com idade entre 55 e 59 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único","Quantidade de pessoas do sexo feminino com idade entre 60 e 64 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único","Quantidade de pessoas do sexo feminino com idade acima de 64 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único"
"09/2021","57229","58883","148536","26969","79138","128816","56654","44422","32596","25886","19873","12807","7101"
"10/2021","56577","58834","148641","27055","78620","128737","56671","44673","32711","25958","19976","12897","7271"
"11/2021","55606","58517","147812","26856","77284","127570","56261","44350","32331","25389","19251","12324","6054"
"12/2021","55298","58630","148509","27240","76525","127914","56540","44934","32535","25523","19446","12378","6108"
"01/2022","73792","67731","172301","32737","97470","155060","67918","54507","40444","33006","25872","16763","8112"
"02/2022","76916","70019","178756","33672","101806","161987","70668","56749","42041","34282","26840","17401","8493"
"03/2022","74289","67972","174285","32613","96360","156349","67951","54422","40196","32774","25521","16466","6473"
"04/2022","73995","68345","174988","32772","96660","157040","68311","54907","40444","32968","25716","16621","6598"
"05/2022","74665","69042","176916","33218","97111","158600","68933","55587","40508","32696","25326","16467","6685"
"06/2022","74636","69218","177675","33282","96750","159287","69205","55846","40841","32857","25504","16604","6791"
"07/2022","74000","69255","177856","33194","96059","159204","69317","56066","40947","32901","25449","16655","6749"
"08/2022","80991","72802","186270","35267","104842","170401","73505","60101","44278","35980","28118","18448","7807"
"09/2022","82363","72385","185555","35113","104545","171058","73509","60361","44995","37060","28945","19034","7723"
"10/2022","84647","74072","189429","35858","107400","175973","75339","62131","46429","38325","29971","19677","8024"
"11/2022","85619","74597","191317","36015","108367","178143","76202","63357","47509","39383","30986","20408","8199"
"12/2022","86263","74402","191215","35718","106874","177747","75910","63226","47268","39250","30977","20159","6984"
"01/2023","86342","75241","193714","36046","107992","180649","77350","64540","48122","39837","31562","20664","8087"
